study_id,performance_score,mechanism_score,support_tier
S00,0.7000763732837336,0.49749874831480345,inferred
S01,0.9177710407756605,0.2980119376218647,inferred
S02,0.8205485521961549,0.10943522043400469,inferred
S03,0.3801657519924735,0.2539217151882485,measured
S04,0.44013302792898035,0.6536256967054713,inferred
S05,0.8988427563170096,0.26048537918959613,measured
S06,0.2042122436524598,0.3956290484817654,inferred
S07,0.8569827347062131,0.10298739364166076,measured
S08,0.837655543001637,0.7640381838413964,speculative
S09,0.5743479622749766,0.2235688648491519,measured
S10,0.44242594145545083,0.31407944365102836,inferred
S11,0.42274048968061867,0.8042657231846629,measured
S12,0.4038956701232997,0.5078326478947386,speculative
S13,0.5560610447061173,0.7777201970926955,inferred
S14,0.6036386071663626,0.611773733554021,measured
S15,0.6427978816595941,0.6934167578894856,speculative
S16,0.9964002267475143,0.17319648405043653,speculative
S17,0.8341295353710025,0.532915057101191,speculative
S18,0.6977433835529301,0.50621778904028,inferred
S19,0.9911681181455079,0.7970715013543045,measured
S20,0.37224695858847917,0.38901124721132607,measured
S21,0.3281696270862756,0.5785472537657704,speculative
S22,0.6900316834184246,0.1474013138764029,inferred
S23,0.2351536063691067,0.41010544088858303,measured
S24,0.22854422301887692,0.35842907700656534,speculative
S25,0.6119110562170962,0.2201597832563615,inferred
S26,0.5729648202602313,0.7530704830552606,inferred
S27,0.9337342185542818,0.40355693724025,measured
S28,0.7033810035928083,0.8829983075289773,inferred
S29,0.6112941172796111,0.5719933544084882,measured
